,name,link,research_interest,ID
258,Dr Caroline Humphrey,https://www.hull.ac.uk/staff-directory/caroline-humphrey,"

Postgraduate supervision
Dr Humphrey welcomes applications in

-  Child and family social work

-  Professional education and ethics

-  Religion and spirituality in the caring professions

Completed PhDs

-  Cooper, K. (2012) Kinship Carer's Own Children: Revealing Multiple Perspectives on Children's Experience of Kinship Care Arrangements, University of Hull

-  Kahn, S, K. (2013) A Case study of Death and Bereavement arising from Political Violence in Nepal, University of Hull

Current PhD supervisions

-  Childhood neglect in the UK

-  Child abuse and child protection in West Africa

-  A case study of an innovative Christian community

",259
259,Dr Igor Schindler,https://www.hull.ac.uk/staff-directory/igor-schindler,"

Postgraduate supervision
Completed PhDs

- Olivia Jones, The functional anatomy of acute and chronic itch

- Iveta Eimontaite, Anatomical and behavioural correlates of emotion- induced social decision making

- Lina Aimola, Cognitive and anatomical correlates of neglect in near and far space

- Gaston Madrid, Visual attention and word recognition

- Nichola Rice-Cohen, The neural correlates of visual consciousness

Current PhDs

- Wanying Zhao, Neural correlates of gesture processing (2013-2017)

- Lee Parkin, Anatomical and gender differences in near and far space processing (since 2017)

- Zoe Petmezas-Walker, Psoriasis, chronic itch and cortical hyperexcitability: A brain stimulation approach (since 2017)

- Alexandra Foulds, Action anticipation in children and adolescents with and without autism (since 2017)

",260
260,Dr Gunjan Saxena,https://www.hull.ac.uk/staff-directory/gunjan-saxena,"

Postgraduate supervision
Professor Saxena's Masters and doctoral research focused on applying relationship marketing techniques and social networks approach to examine the nature and especially the role that relationship building and collective learning processes play in sustainable tourism development and its provision. 
 
Her current research looks at SMEs, entrepreneurship, women's enterprise, tribal communities and creative and rural tourism marketing. She would welcome doctoral students pursuing these topics to contact her. 
 
Current PhD supervisions  
 
Minh Tran (2017-), Women Entrepreneurs Operating Informal Enterprises in Mekong and Danang, Vietnam. 
 
Shenaz Rungawalla (2016-), A Study on the Impact of Consumption Patterns of Indian Middle Class Women on Identity Construction. 
 
Jakia Rajoana (2015-), Women's Role in Sustainable Rural Tourism Development in Sundarbans, Bangladesh. 
 
David Ross (2014-2017), Creative Tourism In Rural Portugal and its Potential as a Regeneration Tool for Local Heritage. 
 
Md Saif Islam (2016-), Women Workers in the Garment Sector in Bangladesh.

",261
261,Dr Nicola O'Leary,https://www.hull.ac.uk/staff-directory/nicola-o-leary,"

Research interests
My research interests lie in the interdisciplinary fields of victimology, criminology, cultural studies, innovative research methods and the ethics of researching vulnerable populations. My doctoral research and subsequent publications focus on the ethics and methods of investigating community-based and media representations of stigma, trauma and victimisation. Within this I have an identifiable interest in the management of self-identity, social reaction, transformative ability and resilience. I am an  experienced researcher in the qualitative field with particular experience and understanding pertaining to use of in-depth narrative interviews with vulnerable populations, across a range of settings, who have experienced significant trauma and harm. More recently my research has focused on working with survivors and victims of domestic abuse; from how they can be supported and empowered to interact with the criminal justice system (or not), to understanding the dynamics of recovery and resilience.


Postgraduate supervision
I am very interested in supervising doctoral students in the areas of: victimology, vulnerability and resilience, media and crime and collective identity and representation.  
 
Current PhD students: 
 
Thomas Hammond (PhD Criminology), Surveillance, Migration and Identity in Brexit Britain 
 
Patrick Oniya (PhD Criminology), An examination of why public sector corruption is resilient: a case study of Nigeria.

",262
262,Dr Raymond Swaray,https://www.hull.ac.uk/staff-directory/raymond-swaray,"

Postgraduate supervision
Raymond has supervised several PhD researchers, as main supervisor, in areas including commodity market liberalisation and producer price dynamics; crude oil price volatility and investment; financial liberalisation and economic growth; optimal currency and East African Monetary Union; economic cycles and political budget cycles.

He has supervised more many MSc dissertations on a range of areas of economics.

Completed PhDs

First Supervisor

Seif Muba: Interaction between macroeconomic variables and stock markets of emerging markets: New evidence from East African Countries, 2017. 

Pascal Halbeisen: Electoral Economic Cycles and the Role of Political Institutions: Do Political Institutions influence the Political Budget Cycle? 2015.

Godfrey Nyamrunda:  An evaluation of economic integration in the proposed East African Federation. 2013.

Ambibola Babatubde: Financial Sector Development, Financial sector FDI and Economic growth: Evidence from the BRIMCs and some selected African countries.  Successfully completed in March 14, 2012.

Rayan S. Hammad: Modelling oil price behaviour of OPEC and non-OPEC oil producers. Successfully completed in December 2011.

Benedicto K. Lukanima: The Impact of Tanzanian Coffee Market Interventions on Producer Price Volatility and Interrelationships between Domestic Coffee Producer Prices and World Market Prices. Successfully completed in December 2008.

Second Supervisor

Cosmas Mbogela: Determinants of bi-lateral trade in Africa.  Successfully February 2015. 

Andwilile N Mwakibete: Factors Influencing Property Tax Collection in Tanzania: A Case Study of Kinondoni, Dodoma and Morogoro Municipalities, Successfully completed, November, 2015.

Current PhD supervisions 

Roberto Palacios-Rodriguez: The heterogeneity of consumption profiles in Mexico: consistencies, discrepancies and benefits of increasing consumption.

Chonlakan Benjasak: Econometric study of energy consumption and economic growth in ASEAN countries,  Second year.

Abdelatif Taloba: Oil and Sustainable Growth in Libya: Prospects and Limitations, Second year

",263
263,Mr Colin Johnson,https://www.hull.ac.uk/staff-directory/colin-johnson,None,264
264,Professor Liz Walker,https://www.hull.ac.uk/staff-directory/liz-walker,"

Research interests
Lived experience of Long Term Conditions 
Palliative Care 
HIV/AIDS 
Marginal masculinities

",265
265,Dr Catriona Jones,https://www.hull.ac.uk/staff-directory/catriona-jones,"

Research interests
Maternal mental health. 
Psychological wellbeing. 
Asexuality/asexual identity development. 
Maternal and reproductive health. 
The support needs of people identifying as LGBTQIA before, during and after childbirth.



Project
Funder
Grant
Started
Status


Project
Development of a study aimed at building and evaluating an eHealth self management intervention to prevent and reduce maternal distress during pregnancy
Funder
SRIP
Grant
£1,500.00
Started
1 November 2017
Status
Complete


Project
Pregnant women’s engagement with specialist perinatal mental health services.
Funder
NIHR National Institute for Health Research
Grant
£500.00
Started
1 January 2018
Status
Complete


",266
266,Professor Adam Nicholls,https://www.hull.ac.uk/staff-directory/adam-nicholls,"


Project
Funder
Grant
Started
Status


Project
Anti-Doping Values in Coach Education - Erasmus Sport
Funder
EC European Commission
Grant
£181,728.00
Started
1 January 2017
Status
Complete


Project
Development and Validation of the Adolescent Sport Drug Inventory (ASDI) and Factors that Influence Attitudes among Adolescents
Funder
World Anti-Doping Agency
Grant
£36,950.00
Started
1 January 2014
Status
Ongoing


Project
The Effectiveness of the Play Clean Group Based and the Mobile Applications (iPlayClean) Anti-Doping Education Programs for Adolescent Athletes and their Entourage: A Randomized Control Trial
Funder
IOC International Olympic Committee
Grant
£142,289.00
Started
1 November 2016
Status
Ongoing



Postgraduate supervision
Prof Nicholls welcomes applications in the areas of doping or coping.

",267
267,Mr Chris Awre,https://www.hull.ac.uk/staff-directory/chris-awre,None,268
268,Mrs Debbie Crickmore,https://www.hull.ac.uk/staff-directory/debbie-crickmore,None,269
269,Dr Cat Fergusson Baugh,https://www.hull.ac.uk/staff-directory/cat-fergusson-baugh,"

Research interests
Cat's research explores the ways in which digital technologies offer extended and alternative approaches to the study and development of live performance events. From the methodological impact of visual reconstruction technologies on visual histories to the development 'simultaneous' realities (through developed sound design or augmentation), new technologies offer us different ways of seeing.


Postgraduate supervision
Cat welcomes applications in digital performance, scenography, theatre architecture, computer visualisation.

",270
270,Miss Rhona Williams,https://www.hull.ac.uk/staff-directory/rhona-williams,None,271
271,Dr Tjeerd Jellema,https://www.hull.ac.uk/staff-directory/tjeerd-jellema,"

Postgraduate supervision
Tjeerd welcomes applications in the area of social cognition. 
 
Completed and current PhDs and postdocs 
 
First supervisor only 
 
> Joana Lopez Pigui, The brain as a predictive machine: An EEG study. Funded by the University of Hull/White Rose. 
 
> Sylwia Macinska, Cognition and Emotion: intertwined or distinct abilities?  Funded by the University of Hull.  
 
> Eszter Somos, Exceptional autobiographical memory. Funded by the University of Hull, co-supervisor: G. Mazzoni. 
 
> Richard Carvey, Rapid Detection of Human Facial Attractiveness in Groups (2017). Funded by the University of Hull, co-supervisor: C-H. Liu. 
 
> Manon Krol, Understanding other's actions: an EEG study combined with TMS (2017). Funded by the University of Hull. Currently postdoc at Radbout University Nijmegen, Donders Institute, NL.  
 
> Martha Del Rosario Peña Sarmiento, Mechanisms underpinning the mere exposure effect (2017), funded by Universidad de los Andes, Colombia and Hull University, co-supervisor: J E Cruz. Currently lecturer at Fundación Universitaria Konrad Lorenz, Colombia. 
 
> Dan Walters, Understanding Others' Actions: A theoretical approach (2016). Funded by 80th Anniversary University of Hull, co-supervisor: S. Burwood. 
 
> Joanna Wincenciak, Perception of facial trustworthiness and emotional actions (2015). Funded by 80th Anniversary University of Hull, co-supervisor: N. E. Barraclough. Currently lecturer at Glasgow University. 
 
> Letizia Palumbo, Beyond face value: involuntary emotional anticipation in typical development and Asperger's syndrome (2015). Funded by 80th Anniversary University of Hull. Currently senior lecturer at Liverpool Hope University. 
 
> Hollie Burnett, (Re-)Conceptualisation in Autism Spectrum Disorders (2010). Funded by AHRC-ESF, EUROCORES. Currently clinical psychologist at The Retreat, York. 
 
> Tanja Nijboer, Emotion and consciousness: implicit social learning, postdoc. Funded by RUBICON-NWO. Currently associate professor at Utrecht University. 
 
> Matthew Hudson, The role of social cues in the automatic attribution of intentionality. Funded by University of Hull. Currently lecturer at National College of Ireland.  
 
> Jeannette Lorteije, Real and implied motion processing (2006). Funded by Helmholtz Research Institute, NL, co-supervisor: R. J. A. Van Wezel. Currently assistant professor at the University of Amsterdam.

",272
272,Dr Clare Whitfield,https://www.hull.ac.uk/staff-directory/clare-whitfield,"

Postgraduate supervision
Women's health, sexual health, teen / adolescent pregnancy and parenting, care of older people, care relationships.

Current PhD supervisions 

- Parichat Arayajaru, Lived experiences in repeat pregnancy among adolescent mothers in Thailand

- Hannah Miles, A study of the experiences of pregnancy, motherhood and parenting in early years (as second supervisor)

- Maria Sciberras, Female Gender Dominance In Nursing: Gender hindrance perceptions of State Maltese First-line Nursing Managers on leadership career progression (as second supervisor)

",273
273,Miss Julie Flint,https://www.hull.ac.uk/staff-directory/julie-flint,None,274
274,Mrs Sue Rolfe,https://www.hull.ac.uk/staff-directory/sue-rolfe,"

Research interests
Sue is particularly interested in the areas of Special Educational Needs and Inclusive Education.

",275
275,Dr Thomas Breithaupt,https://www.hull.ac.uk/staff-directory/thomas-breithaupt,"

Postgraduate supervision
Dr Breithaupt welcomes MSc and PhD projects in areas that deal with sensory ecology, animal behaviour, ecophysiology, or animal personalities.

Completed PhDs 

Dr Breithaupt has been first supervisor for 20 postgraduate studies including six PhD research projects

Current PhD supervisions 

Tom Evans, Identification of feeding attractant for American lobsters Homarus americanus

",276
276,Dr Sergey Rybchenko,https://www.hull.ac.uk/staff-directory/sergey-rybchenko,"

Research interests
Advanced materials and structures for electronic and photonic applications; novel sensors and emitters for infrared and near-infrared spectral regions. 
 
Electronic materials in electrochemical applications. 
 
Magnetic materials, sensors and their applications 
 
Research by combination of experimental work and numerical simulations (COMSOL).


Postgraduate supervision
PhD applications in areas overlapping with Dr Rybchenko's research interests are welcome (advanced electronic and photonic materials; magnetic materials, sensors and applications) in both experimental and numerical simulation domains. 
 
Completed PhDs 
 
- Ali, Sarfraz  'Characterisation of novel III-V on Si semiconductor nanostructures for photovoltaic applications (2018)' 
 
- Touhami, Dalila 'Electrochemical Carbon Dioxide Reduction to Methanol at High Pressure '(2015)

",277
277,Mr Darren McKie,https://www.hull.ac.uk/staff-directory/darren-mckie,"

Postgraduate supervision
Current PhD supervisions  
 
Luis Torrao, TIMAEUS: Three-dimensional Illuminated Media Augmented Sculptures

",278
278,Dr Michael Nolan,https://www.hull.ac.uk/staff-directory/michael-nolan,"

Postgraduate supervision
Dr Nolan is willing to consider supervising research students in labour economics and applied microeconometrics, especially on topics in the fields of absenteeism from the workplace, duration modelling of labour market states, and the economics of earnings, employment and self-employment. 
 
Completed PhDs 
 
-  Shereen Nosier, Estimating the international tourism demand for Egypt (external examiner, Professor Sam Cameron, University of Bradford) 
 
-  Roland Getor, Improving local labour market performance in the UK (external examiner, Dr John Sutherland, visiting researcher at University of Strathclyde) 
 
Current PhD supervisions 
 
-  Tahani Bagazi (initially joint supervisor with Dr Zheng Wang, then with Dr Gabriele Amorosi) 
 
-  Fiona-Elizabeth Cox (jointly supervised with Professor Jon Atkins and Dr Steve Trotter)

",279
279,Dr Rebecca Hill,https://www.hull.ac.uk/staff-directory/rebecca-hill,None,280
280,Professor Helen Johnston,https://www.hull.ac.uk/staff-directory/helen-johnston,"


Project
Funder
Grant
Started
Status


Project
English Prisons at War: Imprisonment during national crisis
Funder
The Leverhulme Trust
Grant
£54,416.00
Started
1 September 2019
Status
Ongoing


Project
Our Criminal Past: Our Criminal Ancestors
Funder
AHRC Arts & Humanities Research Council
Grant
£62,219.00
Started
11 May 2017
Status
Complete


Project
'Invalids', Disability and the Modern Prison
Funder
British Academy
Grant
£5,193.00
Started
1 May 2018
Status
Complete



Postgraduate supervision
I welcome applications in the fields of punishment, penal policy and contemporary imprisonment as well as studies on the history of crime, policing and punishment. 
 
Completed PhDs:  
 
Maria De Angelis (2012), Trafficking and Prostitution: Victimhood and Agency (with Dr Majella Kilkey) 
Samson Chan (2013), Colonial Penality: A Case Study of Hong Kong Penal Policy, 1945-1997 (with Professor Peter Young) 
William Davies (2015), The Pains of Imprisonment and Resettlement for Short Term Prisoners (with Professor Peter Young) 
Helen Nichols (2016), Adult Male Prisoners Experiences of Education (with Professor Gerry Johnstone) 
Rachel Dixon-Goodall (2017) Expert Evidence in Cases of Infanticide, 1688-1955 (with Tony Ward). 
Alicia Kidd (2018) The Dynamics of Contemporary Slavery and Conflict: Agency, Asylum and Accountability (with Simon Green). 
Marion Wilson (2019) Grief and Bereavement in Prison (with Liz Walker). 
Rhiannon Pickin (2019) Emotions, Perceptions and Responses to Crime and Penal Heritage (AHRC Heritage Consortium with Leeds Beckett University, with Heather Shore). 
 
Current PhD students: 
Lucie Wade, Juvenile Crime, Punishment and Reform in the West Riding of Yorkshire, 1856-1914 (AHRC Heritage Consortium with Leeds Beckett University). 
Julie Brumby, Reformatory and Industrial School Training Ships (NECAH with Leeds Beckett University).

",281
281,Mr Kevin Ord,https://www.hull.ac.uk/staff-directory/kevin-ord,None,282
282,Dr Kevin Goode,https://www.hull.ac.uk/staff-directory/kevin-goode,None,283
283,Dr Gloria Likupe,https://www.hull.ac.uk/staff-directory/gloria-likupe,"

Postgraduate supervision
Dr Likupe welcomes applications in: third world health issues, international migration, older people's health inclusion and diversity.

Current PhD supervisions 

- Developing and testing a brief intervention for feeding difficulties in dementia

- Training requirements in acute and critical care nursing in Uganda : setting the scene. A Delphi study incorporating mixed methods

",284
284,Dr Jason Lawrence,https://www.hull.ac.uk/staff-directory/jason-lawrence,"

Postgraduate supervision
Dr Lawrence welcomes prospective PhD applications on any aspect of Anglo-Italian literary relationships; Shakespeare, and English Renaissance Drama; Edmund Spenser; Samuel Daniel; English Renaissance poetry. 
 
Completed PhDs: 
 
- Translating Women: Female Figures in the Elizabethan Translations of Three Italian Renaissance Epic Poems (2003 - 2007) 
 
- Dialectical Affect in Shakespeare's Problem Plays (2005 - 2007) 
 
- Shakespeare and the Seven Deadly Sins: a Necessary Evil (2011-2016)

",285
285,Dr Michael McCahill,https://www.hull.ac.uk/staff-directory/michael-mccahill,"

Postgraduate supervision
Michael welcomes applicants in the following areas: surveillance and social control; surveillance, crime and media; ethnographic research on surveillance subjects or agents.

Completed PhDs

- Abdullah Algarni, PhD in criminology, funding: King Fahd College, Riyadh, completed 2012 (principal supervisor)

- Nicky O'Leary, PhD in criminology, funding: self-funded, completed 2011 (principal supervisor)

- Ibrahim Al-haider, PhD in criminology, funding: King Fahd College, Riyadh, completed 2010 (principal supervisor)

Current PhD supervisions 

- Suki Desai, PhD in sociology, The Social Impact of CCTV Surveillance Cameras in Three Mental Health Wards, self-funded (principal supervisor)

- Tom Hammond, PhD in sociology, University of Hull full-time UK/EU PhD scholarship on Surveillance, Migration and Identity in Brexit Britain (principal supervisor)

",286
286,Dr Fiona James,https://www.hull.ac.uk/staff-directory/fiona-james,"

Research interests
- Interactionist and socially situated approaches to empirical research, including Discourse Analysis and Grounded Theory. 
 
- Learning in informal and non-formal contexts 
 
- The philosophy of Foucault and the later Wittgenstein 
 
-  Educational inequalities


Postgraduate supervision
Dr James welcomes applications involving issues surrounding  learner identity; studies deploying interpretive and/or critical frameworks such as Discourse Analysis and Ethnomethodology; learning in non-formal or informal contexts (including learning in older adulthood).

",287
287,Dr Christian Billing,https://www.hull.ac.uk/staff-directory/christian-billing,None,288
288,Professor Yiannis Papadopoulos,https://www.hull.ac.uk/staff-directory/yiannis-papadopoulos,"

Postgraduate supervision
Professor Papadopoulos welcomes applications in all areas of his research. The key requirements for PhD applicants are a good degree, strong software engineering skills, and an exploratory mind. Much of the work has extensive industrial applicability and is done in collaboration with large industrial organisations which are technology leaders in their field. 
 
Despite the many applications of this work in the engineering of technologically advanced systems, such as electric and semi-autonomous cars, the work involved in those PhD projects does not require any knowledge of these engineering domains and is mainly focused on computer science, and the development and implementation of novel algorithms and tools using standard computer equipment and programming environments. 
 
Completed PhDs  
 
Luis Azevedo (2015), Scalable Allocation of Safety Integrity Levels in Automotive Systems 
 
Zhibao Mian (2014), Model Transformation for Multi-objective Architecture Optimisation for Dependable Systems 
 
Shawulu Nggada (2013), Multi-objective System Optimisation with Respect to Availability, Maintainability and Cost 
 
Nidhal Mahmud (2012), Dynamic Model-based Safety Analysis: from State Machines to Temporal Fault Trees 
 
Amer Dheedan (2012), Distributed On-line Safety Monitor Based on Safety Assessment Model 
 
Septavera Sharvia (2011), Integrated Application of Compositional and Behavioural Safety Analysis 
 
David Parker (2010), Multi-objective Optimisation of Safety-Critical Hierarchical Systems 
 
Ian Wolforth (2010), Specification and Use of Component Failure Patterns 
 
Martin Walker (2009), Pandora - A Logic for the Qualitative Analysis of Temporal Fault Trees 
 
Current PhD supervisions  
 
Ioannis Sorokos (submitted 2017), Generation of Model-Based Safety Arguments from Automatically Allocated Safety Integrity Levels 
 
Luis Torrao (expected 2019), Timaeus - Tetrahedral Illuminated Media Augmented Scupltures Art Therapy Studio

",289
289,Dr Rob Mackay,https://www.hull.ac.uk/staff-directory/rob-mackay,"

Postgraduate supervision
- Sonic art

- Sound art

- Electroacoustic composition

- Sound and place

- Acoustic ecology

- Ecoacoustics

- Interactive technology

- Audiovisual interaction

Completed PhDs

- Alo Allik, PhD by Composition, Developing a multimodal autonomous improvisation system (supported by a University of Hull 80th Anniversary Scholarship)

- Nick Del Nero, PhD by Composition, The relationship between technology and society (supported by an AHRC scholarship)

Current PhD supervisions 

- Moss Freed, PhD by Composition, Structured improvisation and graphic scores (supported by a NECAH scholarship in partnership with the University of Huddersfield). Co-supervisor: Prof Pierre Alexandre Tremblay.

- Anthony Boorer, PhD by Composition, The Electroacoustic Trombone: An examination of trombone technique through augmented electroacoustic sound design in an original composition portfolio (supported by a NECAH scholarship in partnership with the University of Huddersfield). Co-supervisor: Dr Mark Bokowiec.

- Tariq Emam, PhD by Composition, The Yorkshire Soundscape Project (supported by a University of Hull Interdisciplinary Scholarship). Co-supervisor: Dr Matt Barnard

- Brett Gordon, PhD by Composition, Human and Computer Interactions in Electroacoustic Music (supported by a University of Hull scholarship). Co-supervisor: Dr Mark Slater.

- Sam Eaton, PhD by Composition, Non-linear musical form explored through site-specific audiovisual installations. Co-supervisor: Dr Matt Barnard.

",290
290,Dr M. Grazia Francesconi,https://www.hull.ac.uk/staff-directory/m.-grazia-francesconi,"

Research interests
Grazia's main interest is in solid state chemistry and inorganic materials, including nanomaterials.



Project
Funder
Grant
Started
Status


Project
Anion-Deficient Solids for CO2 Capture – Towards New Materials
Funder
Royal Society of Chemistry
Grant
£1,600.00
Started
4 June 2018
Status
Complete



Postgraduate supervision
Preparation of novel nanoparticle for medical imaging and theranostics 
 
Utilising CO2 and other polluting gases in research on new inorganic materials

",291
291,Dr Jo Bell,https://www.hull.ac.uk/staff-directory/jo-bell,"

Research interests
Mental Health (esp young people's mental health) 
 
Suicide Prevention / Postvention 
 
Trauma and Loss


Postgraduate supervision
Dr Bell is interested to hear from potential students who wish to undertake postgraduate research in any of her areas of interest. In particular she is interested in supervising research in young people's mental health, suicide and self-harm, suicide-related internet use,  suicide bereavement, trauma and loss, contemporary death.  
 
Current PhD supervisions  
 
- Vicky Burton 
 
- Israa Faraj 
 
- Dudley Ofari

",292
292,Mr Steve Pace,https://www.hull.ac.uk/staff-directory/steve-pace,None,293
293,Dr Anna Fitzer,https://www.hull.ac.uk/staff-directory/anna-fitzer,"

Postgraduate supervision
Dr Fitzer welcomes proposals from students wishing to undertake doctoral work in writing of the long 18th century.

",294
294,Dr Sue Hull,https://www.hull.ac.uk/staff-directory/sue-hull,"

Research interests
Rocky shore ecology and ecological enhancement of coastal defences. 
Bioengineers as habitats and the effect of habitat complexity on marine communities.   Habitat use of waders and their conservation.


Postgraduate supervision
Sue welcomes applications for postgraduate supervision, at PhD or MSc by research level, in 
 
- intertidal ecology / biogenic habitats 
 
- wader ecology and conservation 
 
- freshwater invertebrates and environmental impacts 
 
Completed PhDs 
 
- Richardson, A. 2015, Patterns of mussel bad infaunal community structure and function at local, regional and biogeographical scales, University of Hull 
 
- Lush, L. 2015, Functional ecology of brown hares, rabbits and livestock within agricultural landscapes, University of Hull 
 
- Barrett, C.J. 2014, Coexistence of intertidal fish, University of Hull

",295
295,Dr Alex Ibhadon,https://www.hull.ac.uk/staff-directory/alex-ibhadon,"

Research interests
Catalysis and Process Engineering 
Synthesis of  Fine Chemicals 
Micro-reactors 
Advanced Materials



Project
Funder
Grant
Started
Status


Project
Waste Water treatment: Approaches, Management and Capacity building
Funder
British Council
Grant
£29,100.00
Started
1 March 2019
Status
Complete


Project
Luminescent C-Dots: Fabrication, Characterization And Application As Potential Photocatalyst And Fluorescent Sensor
Funder
British Council
Grant
£7,699.00
Started
28 February 2018
Status
Complete



Postgraduate supervision
Property-Structure Relations in  Crystalline Polymers 
Synthesis of  Fine Chemicals using Microreactors 
Advanced Materials for  Solar Energy Conversion 
Artificial Photosynthesis 
Degradation of  Single Use Plastics 
Sustainable Futures and Environments

",296
296,Dr Magnus Johnson,https://www.hull.ac.uk/staff-directory/magnus-johnson,"

Research interests
Crustacean Biology and Ecology

Sustainable Fisheries

Marine Environmental Management

Tropical Marine Systems

Environmental Marine Ecology Research Group

Collaborations with Oxford University Natural History Museum, British Antartctic Survey, Holderness Fishing Industry Group, Institute of Estuarine and Coastal Studies



Project
Funder
Grant
Started
Status


Project
Humber Aquaculture Partnership  - Project 1
Funder
Marine Management Organisation
Grant
£32,057.00
Started
1 September 2018
Status
Ongoing


Project
Humber Aquaculture Partnership - Project 2
Funder
Marine Management Organisation
Grant
£33,955.00
Started
1 September 2018
Status
Ongoing


Project
Humber Aquaculture Partnership - Project 3
Funder
Marine Management Organisation
Grant
£29,058.00
Started
1 September 2018
Status
Ongoing


Project
Assessment of nearshore shallow water Marine Protected Areas
Funder
Marine Management Organisation
Grant
£57,387.00
Started
1 May 2018
Status
Complete



Postgraduate supervision
I welcome applications from potential PhD or research MSc students interested in crustacean biology/ecology, fisheries science and management or environmental marine science.

Completed PhDs 

Knowles, Kathryn (2010) A holistic framework for environmental change : socio-environmental cohesion for sustainability (2nd with Angela Espinosa)

Cardoso Castro, Pedro-Pablo (2011) Facilitating self-organization in non-hierarchical communities : a methodology for regeneration programs (2nd with Angela Espinosa)

Ashelby, Christopher (2012) Taxonomic, systematic, morphological and biological studies on Palaemon Weber, 1795 (crustacea: decapoda: palaemonidae)

Christopher Barrett (2012) The ecology of intertidal fishes & the mechanisms which allow for their coexistence (2nd with Sue Hull)

Kirkbride-Smith, Anne (2014) The economic, social and conservation benefits of recreation-orientated artificial reefs

Dobson, N (2015) Aspects of the eyes of Pontoniine Decapods

James Wood (2015) Biology and Ecology of the Holderness Coast Lobster Fishery.

Current PhD supervisions 

Cowing, Daniel: Developing hatcheries for Nephrops Norvegicus

Roach, Michael: Interactions of lobster fishing and offshore windfarms

",297
297,Dr Ann Kaegi,https://www.hull.ac.uk/staff-directory/ann-kaegi,"

Postgraduate supervision
Dr Kaegi would welcome PhD applications from students interested in any aspect of early modern drama, Shakespeare, forms of unruliness and resistance in early modern writing, Renaissance rhetoric, Shakespeare adaptations, and the teaching of Shakespeare.

",298
298,Professor Colin Tyler,https://www.hull.ac.uk/staff-directory/colin-tyler,"

Research interests
Common good politics 
British idealism and the New Liberalism 
Social economics 
Politics of immigration 
Jeremy Bentham's political thought 
History of European political thought since 1789



Project
Funder
Grant
Started
Status


Project
Daiwa Foundation Small Grant
Funder
Daiwa Anglo Japanese Foundation
Grant
£3,569.00
Started
1 July 2017
Status
Complete



Postgraduate supervision
British idealist social and political thought and practice 
Civil disobedience 
Common good politics 
International relations theory 
Jeremy Bentham's political thought 
Social economics, especially critics of capitalism

",299
299,Dr Andrew King,https://www.hull.ac.uk/staff-directory/andrew-king,"


Project
Funder
Grant
Started
Status


Project
New Music Biennial Evaluation
Funder
Paul Hamlyn Foundation
Grant
£30,170.00
Started
1 September 2016
Status
Complete



Postgraduate supervision
Dr King offers supervision in the areas of record studio pedagogy, online music education, record production and music education. 
 
Completed PhDs 
 
Dr Niall Thomas (2016) 
Current PhD supervisions  
David Nickerson (2017-)Stephen Borg (2012-2017)

",300
300,Miss Helen Mitchell,https://www.hull.ac.uk/staff-directory/helen-mitchell,"

Research interests
Music and sound for film and games. 
Audio-visual interaction and applications


Postgraduate supervision
I have supervised projects relating to film, games and performance for students on the taught Masters degree.

",301
301,Professor Graham Scott,https://www.hull.ac.uk/staff-directory/graham-scott,"

Postgraduate supervision
Graham welcomes applications in the areas of learning through fieldwork and learning outside of the classroom; and in the areas of learning analytics and student managed learning - particularly in the biosciences. 
 
Completed PhDs 
 
-  Kent, Birth Sex Ratio Variation and Change in Domestic Sheep (2013) 
 
-  Turnbull, Epigeal Invertebrates of Allotments (2012) 
 
-  Palin, The Behavioural Responses of Lithobius Melanops to Conspecific Marks (2008) 
 
-  Pottas, Morphological, Ecological and Genetic Variation in Two Forms of Fucus Spiralis (2008) 
 
-  Marsham, The Application of a Functional Group Approach to Algal-Grazer Interactions (2007) 
 
-  Tobin, Applications of a Functional Group Approach to the Study of Temperate Algal Communities (2000) 
 
Current PhDs 
 
-  Emma Peasland, Getting More from Getting Out: How Can We Maximise the Employability Enhancing Effect of Fieldwork for a Diverse Student Body?

",302
302,Dr Howard Wilde,https://www.hull.ac.uk/staff-directory/howard-wilde,None,303
303,Dr Tommy Horozov,https://www.hull.ac.uk/staff-directory/tommy-horozov,"

Research interests
Colloidal particles 
• behaviour at liquid interfaces and in thin liquid films 
• particle-stabilised foams and emulsions 
• non-spherical and Janus particles 
 
Wetting and capillarity 
• contact angles of solid particles and surfaces 
• ‘smart’ porous coatings for anti-biofouling 
• open microfluidics 
 
Advanced materials 
• porous and composite materials (incl. graphene containing composites) 
• self-assembled nano-particle structures for nano-photonics & metamerials 
• super-stretchable hydrogels

",304
304,Dr Catherine Wynne,https://www.hull.ac.uk/staff-directory/catherine-wynne,"

Research interests
- Bram Stoker 
- Arthur Conan Doyle 
- Lady Butler 
- Gothic 
- Victorian literature and culture 
- War art from the Victorians to the First World War 
- Victorian theatre 
- Empire and colony 
- Travel writing


Postgraduate supervision
Catherine welcomes PhD applications from students who are interested in the following areas: Gothic, 19th-century British and Irish writing, travel writing and illustration, Victorian melodrama, Bram Stoker, Conan Doyle, Lady Butler, postcolonial writing. 
 
Completed PhDs 
- Dr David Beck, 'I see you have quite gone over to the supernaturalists': The spiritual and scientific Arthur Conan Doyle (2012) 
- Dr Sara Williams, The Maternal Gaze in the Gothic (2011) 
 
Current PhD supervisions  
 
Primary supervisor for two current international PhD students. One is working on the family in postcolonial writing and the second on Brian Friel. Also co-supervising a PhD in Creative Writing (a novel).

",305
